id,article_id,conversation_id,turn_id,"speaker","text","person_id_1","person_id_2",Emotion,EmotionalPolarity,Empathy,SelfDisclosure
0,35,1,0,"Person 1","what did you think about this article","p019","p012",0.6667,1,0.6667,1
1,35,1,1,"Person 2","It's definitely really sad to read, considering everything they're all going through. What did you think?","p019","p012",3,2,4.3333,2
2,35,1,2,"Person 1","I think it's super sad... they seem to never catch a break, always struggling.","p019","p012",3.6667,2,4.6667,2.6667
3,35,1,3,"Person 2","I can't imagine just living in an area that is constantly being ravaged by hurricanes or earthquakes. I take my location for granted.","p019","p012",3,2,4.6667,3.3333
4,35,1,4,"Person 1","Me too.. I also can't imagine living in the poverty and such.. It's crazy to think that people still live like that sometimes.  The gap between first world countires and places like that is crazy to em","p019","p012",3.3333,2,4.6667,3
5,35,1,5,"Person 2","It also seems unnecessary for there to even be such a gap. With all of the wealthy countries out there, I hope Haiti gets the help it deserves, because we, and other countries, can certainly afford it.","p019","p012",2,2,3.3333,2.3333
6,35,1,6,"Person 1","Agreed... with how frivilous and unnessary our spending is, it's so sad that countries like that don't get more support or guidance.","p019","p012",3,2,3.3333,2.3333
7,35,1,7,"Person 2","It's disheartening, isn't it? Places have the ability, money, time, and knowledge, and still refuse to help.","p019","p012",3.6667,2,3.6667,2.3333
8,35,1,8,"Person 1","It is so sad... Or even the millionaires/billionaires out there. I know some of them donate, but at some point, you can only spend so much money. Why not put it to use.","p019","p012",3.3333,2,4,2.6667
9,35,1,9,"Person 2","Yep, exactly. It's just very frustrating overall. I think it's hard for others because they don't understand until their houses are being swept away for torrential floods.","p019","p012",3.3333,2,3.3333,2
10,35,1,10,"Person 1","It is hard to fathom/process, it's hard for me to really imagine","p019","p012",2.6667,2,4,2.6667
11,35,1,11,"Person 2","Give it twenty more years, for the more compassionate people to come into leadership. I think we'll see a big difference.","p019","p012",2.3333,0,3.6667,2.3333
12,35,1,12,"Person 1","I think that is a fair statement... the new generation seems more caring and compassionate and willing to help","p019","p012",1.6667,0.3333,2.6667,2.6667
13,35,1,13,"Person 2","I know it sounds cold, but the older generation either doesn't care, or doesn't want to understand. Trust me, we'll see some major change soon enough.","p019","p012",2.3333,2,2.6667,3
14,35,1,14,"Person 1","I totally agree... I know there are some out there that care, but the majority, and the ones in charge, really don't seem to","p019","p012",2.6667,1.6667,3.3333,2.3333
15,35,1,15,"Person 2","Well, it was really great talking to you. I can't think of anything else to say about the topic. goodbye","p019","p012",2,0.6667,0.6667,1.3333
16,35,1,16,"Person 1","we don't have enough lines yet","p019","p012",1,0.6667,0.6667,1.6667
17,35,1,17,"Person 2","I apologize, I thought we did! I'm obviously a winner at counting. Hurricane Matthew was two years ago, wasn't it?","p019","p012",1.3333,0.6667,1.6667,1.6667
18,35,1,18,"Person 1","Haha no worries, we should be there now. That sounds about right to me, crazy, time flies, seems like I was just hearing about it","p019","p012",1.6667,0.6667,1.3333,1.6667
19,35,1,19,"Person 2","I think I recall it spawning a second hurricane, too, but it calmed down before being too bad. Yeah, I was definitely a few lines off lol","p019","p012",1.6667,1,2,2.3333
20,35,1,20,"Person 1","I kinda remember that too...Well it has been great talking to you! bye :)","p019","p012",1.6667,0.3333,0.6667,2
21,35,1,21,"Person 2","take care! goodbye","p019","p012",1.3333,0.3333,0.6667,1.3333
22,35,2,0,"Person 1","I feel very sad for the people.","p035","p022",3,2,3.3333,3
23,35,2,1,"Person 2","It's terrible. Not only the people but the animals as well!","p035","p022",4,2,3.3333,2.6667
24,35,2,2,"Person 1","Yeah, the whole situation is horrible.","p035","p022",3.6667,2,3.6667,2
25,35,2,3,"Person 2","I really wish there was something i could do.","p035","p022",3.6667,1.3333,3.6667,2.6667
26,35,2,4,"Person 1","I know we can donate, but it's hard to know exactly how the money is used.","p035","p022",3,1.6667,2.3333,3.3333
27,35,2,5,"Person 2","I agree. Have you ever been in a hurricane?","p035","p022",2,1,0.3333,2.6667
28,35,2,6,"Person 1","No, and You?","p035","p022",1,1.3333,0.3333,2
29,35,2,7,"Person 2","Yes! It's actually terrifying. We were supposed to evacuate but decided to stay because we thought , what's the worst that can happen?","p035","p022",4.3333,2,0.3333,2.3333
30,35,2,8,"Person 1","Sorry to hear that, I'm glad that you are okay!","p035","p022",3,0.3333,0.3333,2.6667
31,35,2,9,"Person 2","Thank you! I'm glad that we still had water and electricity. I can't even imagine what the people over in Haiti are going through","p035","p022",3,1,3,2.3333
32,35,2,10,"Person 1","I felt really sorry for the sister that now has to rise her siblings.","p035","p022",3.6667,2,2.6667,3.3333
33,35,2,11,"Person 2","Yeah, it's going to be tough but i am sure she is strong enough to raise them.","p035","p022",3,0.6667,2,2
34,35,2,12,"Person 1","Yeah, we never know what we can do unless we are tested.","p035","p022",2.3333,0.3333,1.3333,2.3333
35,35,2,13,"Person 2","True. Have you been in ANY kind of natural disasters?","p035","p022",1.3333,1,0.3333,2
36,35,2,14,"Person 1","Tornado when I was young. They suck too.","p035","p022",2,2,1.6667,3.3333
37,35,2,15,"Person 2","Never been in one but i can only imagine it's even scarier than a hurricane","p035","p022",2.3333,1.6667,1.6667,2.6667
38,35,2,16,"Person 1","The power of nature is truly scary.","p035","p022",3.3333,1.6667,1.3333,2
39,35,2,17,"Person 2","Agree. I hope those people get some water and food as soon as possible","p035","p022",2.6667,1,3.6667,2.6667
40,35,2,18,"Person 1","Me too, I wish there was a direct way to aid the people.","p035","p022",2.6667,1,3.6667,3
41,35,2,19,"Person 2","Yup! Well it was nice talking to you! bye","p035","p022",2,0.3333,0.3333,2.3333
42,35,2,20,"Person 1","You too! bye","p035","p022",2,0.3333,0.3333,1.3333
43,35,3,0,"Person 1","what did you think about the article","p024","p020",0.6667,1,0.3333,1.6667
44,35,3,1,"Person 2","It was such an eye opener about the suffering that happens that you never hear about","p024","p020",3.3333,1.6667,4,2.3333
45,35,3,2,"Person 1","its crazy the stuff that goes on in this world","p024","p020",4,1.3333,3.3333,2.3333
46,35,3,3,"Person 2","right i can't believe it. If that was the US they would be set up to avoid fsilure","p024","p020",3,1.6667,3,2.3333
47,35,3,4,"Person 1","yeah some countries are so corrupt though","p024","p020",3.3333,2,3,2
48,35,3,5,"Person 2","true, i heard in puerto rico they did not even distrubute the hurricane supplies the US gave them","p024","p020",3.6667,2,3,2.6667
49,35,3,6,"Person 1","i remember  trump throwing toilet paper rolls at the crowd in puerto rico that was so embarrasing","p024","p020",3.3333,2,2,2.6667
50,35,3,7,"Person 2","o wow that is very embarrassing and degrading","p024","p020",4,2,2.6667,2.3333
51,35,3,8,"Person 1","yeah wonder what was going through is head","p024","p020",2.3333,1.3333,2.3333,2.3333
52,35,3,9,"Person 2","probably a power trip or an i'm better than you moment","p024","p020",3.3333,1.6667,1.6667,2
53,35,3,10,"Person 1","what do you think can be done to help the people in haiti","p024","p020",2.3333,0.6667,1,1.6667
54,35,3,11,"Person 2","I think they should do a telethon get a bunch of celebrities and make a hashtag. encourage people to donate and volunteer","p024","p020",2,0.3333,3,2.3333
55,35,3,12,"Person 1","makes sense. also find better ways rather than trucks that are easily looted by the people","p024","p020",2.6667,0.6667,3,2.3333
56,35,3,13,"Person 2","ahh so true!also insure that when you say there is enough for everyone that there actually is.","p024","p020",2.6667,1.3333,2.3333,2
57,35,3,14,"Person 1","and also not let the haitian govt get there hands on any of it they are corrupt","p024","p020",2.6667,1.3333,2.6667,2
58,35,3,15,"Person 2","America should dethrone the government and make it the 51st state","p024","p020",3,1.3333,2.6667,2
59,35,3,16,"Person 1","thats a great idea","p024","p020",2.3333,0.3333,1,1.6667
60,35,3,17,"Person 2","hopefully these people get the help they need i am going to look into it after this","p024","p020",2,0.6667,3.3333,2
61,35,3,18,"Person 1","me too very interested in the outcome","p024","p020",2.3333,0.6667,2.3333,2.6667
62,35,3,19,"Person 2","so crazy the suffering that is going on that we have no idea about","p024","p020",3.3333,2,3.6667,2.3333
63,35,3,20,"Person 1","were lucky to live here","p024","p020",2.3333,0,1.6667,3
64,35,3,21,"Person 2","i agree makes my troubles seem so small","p024","p020",3.3333,0,2.3333,3
65,35,3,22,"Person 1","yeah makes u realize your problems are miniscule in comparison","p024","p020",3,0,2.6667,2.3333
66,35,3,23,"Person 2","i agree. it was so nice chatting with you. goodbye","p024","p020",1.6667,0,0.6667,1.3333
67,35,3,24,"Person 1","bye","p024","p020",1,1,0.3333,1
68,35,4,0,"Person 1","Do you think the people of Haiti will ever recover from the effects of these recent natural disasters?","p041","p071",1.6667,1.3333,2.3333,1
69,35,4,1,"Person 2","I am not sure it is a quite poor area :(","p041","p071",2.6667,2,3.3333,1.3333
70,35,4,2,"Person 1","Yes it is. The people there need a lot of help. What do you think are some of the best ways to get them the help they need","p041","p071",2.3333,1,3,1.3333
71,35,4,3,"Person 2","I think if the UN is able to get them the required funds that will help a lot.","p041","p071",2,0.3333,2.6667,1.3333
72,35,4,4,"Person 1","I am inclined to disagree. More money is only a temporary solution. I think they need lasting change","p041","p071",2,2,2.6667,2.6667
73,35,4,5,"Person 2","Yes, I hear there is a lot of corruption there as well, that is also a problem. Money is short term","p041","p071",2,2,3.6667,1.6667
74,35,4,6,"Person 1","Yes corruption is a huge problem. I think the NGO's and the UN should focus more on teaching the Haitian people to help themselves and develop the country","p041","p071",2,1.6667,2.3333,2
75,35,4,7,"Person 2","Yes getting a better government is the best way to help any region. Most countries, do not absolutely need outside for every disaster","p041","p071",2,1.3333,3,2
76,35,4,8,"Person 1","I don't think the US wants a ''better'' government. They want a government they can control or influence. Corruption helps with that agenda","p041","p071",2.6667,2,2.3333,2.3333
77,35,4,9,"Person 2","Yes two things can be true at once though. They want a better government but also try to get power and control in the process.","p041","p071",2.3333,1.3333,2.6667,2
78,35,4,10,"Person 1","Do you think the United States has a vested interest in a developed and autonomous Haiti? I don't think so","p041","p071",2.3333,2,1,2
79,35,4,11,"Person 2","Yeah I would not count on it. So you think the change should come from within?","p041","p071",1.6667,1.3333,2.6667,1.6667
80,35,4,12,"Person 1","Yes. I think that is the only way to get lasting long term and meaningful change. We have to help them help themselves","p041","p071",3.3333,0.3333,2.3333,2.3333
81,35,4,13,"Person 2","Yes that is why I think giving them aid, with no strings attached, is a good way to do this.","p041","p071",2.6667,0,3,2.3333
82,35,4,14,"Person 1","I disagree. With all the corruption it would just be money wasted. We should control the funds and focus more on sending people and material","p041","p071",3.3333,1.6667,2,2.6667
83,35,4,15,"Person 2","Yeah but you can not have it both ways, either we send money and get power and control, or we send it no strings attached. So I think there might have to be strings actually, as you reminded me of the corruption.","p041","p071",2.6667,1,2,2.3333
84,35,4,16,"Person 1","Some other questions would be how much money and how long would we have to be involved?","p041","p071",2,1,1,1
85,35,4,17,"Person 2","I think the article said the UN was looking to send $800 million. No more then ten years in my opinion","p041","p071",1.3333,1,2.3333,1.3333
86,35,4,18,"Person 1","I think 10 years is a good figure. But it seems like any problems Haiti has are only made worse by natural disasters. And no one can stop those","p041","p071",2.6667,1.3333,2.3333,2
